name;description;category;year_published
Squadron Strike;"&quot;Building off of the streamlined 3-D movement engine of Saganami Island Tactical Simulator, 2nd Edition, Squadron Strike lets you build any ship, from any setting, in full 3-D glory&mdash;and then pit them against each other, in titanic battles for the fate of galaxies.&quot;&#10;&#10;&quot;Squadron Strike takes between 5 and 10 minutes per turn with 6 ships per side, and combines fast play with more tactical depth and scalable detail than any other 'construction ready' space combat game. It&rsquo;s suitable for Ages 12 and up.&quot;&#10;&#10;&quot;In Squadron Strike, ships move in one of three movement modes, named for the number of Newton&rsquo;s Laws being obeyed; with these options you&rsquo;re not stuck with whatever movement mode the game designer liked - you can pick the one that works best for the setting you&rsquo;re trying to run in. You even have optional fuel rules (for both interstellar and tactical movement) to simulate the setting or TV series to whatever degree you like. You decide what reality level is appropriate for your level of fun.&quot;&#10;&#10;&quot;You can design nearly everything in the game, from missiles, to beams, to fighters, to torpedoes. An original setting includes pre-built ships and weapons for people who don&rsquo;t want to get deeply into the customization process, but if you want it, you have complete control.&quot;&#10;&#10;&quot;Automated tools do complete SSD generation for you, in Excel format, or with higher end features via web applications.&quot;&#10;&#10;&quot;Squadron Strike comes with a complete, integrated campaign system, including web apps that automatically generate campaign maps, victory decks, and system maps. Just enter the campaign turn in the web app and the positions of the planets on the system map update automatically!&quot;&#10;&#10;&quot;The boxed game will have two map sheets, a bag of tilt blocks, two bags of stacking tiles, box miniature sheets, a rulebook, an SSD book and a setting book. The ship design tools are available as a free download in Excel; the web applications (including a nicer ship design tool set, and campaign support) are behind a subscriber login.&quot;&#10;&#10;";Aviation / Flight,Miniatures,Science Fiction,Wargame;2008
Partini;"Partini&#10;The party game with a delicious twist!&#10;A great mix of games for the laugh-out-loud party crowd!&#10;&#10;Open up the game box. Sprinkle friends around the room. Mix up the coasters, Then pick'em at random to play 6 games. Stir in a dash of drama, a splash of laughs and a double shot of silliness, and you've got a happy hour that will last all evening long!&#10;&#10;Pick a coaster... play a game!&#10;&#10;Hum Punch:&#10;Hum it up in a musical challenge. No singing allowed! Hmm-Hmm-Hmm&#10;&#10;What Not:&#10;Don't say what it is, say what it's not! Will your team guess &quot;Hot Dog&quot; when you say, &quot;It's not a cool cat&quot;?&#10;&#10;Straight Up:&#10;Write something true or funny about a teammate. Will you get points for telling it like it is?&#10;&#10;Bouncers:&#10;Ready, aim, and fire balls into cups. The action changes with every draw of a card.&#10;&#10;Mime Twist:&#10;Zip your lips and act it out. Will your team guess &quot;Stud Muffin&quot; in the Lover Boy category?&#10;&#10;Clay Smoothie:&#10;Mold and fold clay into shapes that your teammates just might recognize... like a snowman.&#10;&#10;Contents:35 Coasters, 430 Cards, 5 Plastic Cups, 2 Plastic Balls, Container of Partini Modeling Compound, 2 Pads of Paper, 4 Pencils, Timer, Die and Rules.&#10;&#10;";Action / Dexterity,Humor,Mature / Adult,Party Game;2008
Decktet;"The Decktet is a 45-card deck of cards in 6 suits.&#10;&#10;The core of the Decktet is the 36-card basic deck. Each suit has 10 cards, a thing accomplished by most of the cards being double-suited.  Most of the cards also have a name and illustration.  The Decktet is a game system released under an open license.&#10;&#10;There are also 9 extended deck cards. Like Jokers in a traditional deck of cards, they are used in some games but not in others.&#10;&#10;The Decktet is available in a free print-and-play version. There are also printed decks available for purchase.&#10;&#10;There are dozens of different games that can be played with the Decktet, many of which have their own entries in the database:&#10;&#10;&#10;     the Decktet game family&#10;     Decktet games, ordered by rating&#10;&#10;&#10;";Card Game,Game System,Print & Play;2008
Warhammer 40,000: Assault On Black Reach;"Warhammer 40,000: Assault On Black Reach&#10;&#10;An ideal first purchase for anyone new to wargaming or existing gamers who want to begin playing Warhammer 40,000, the enclosed starter booklet has easy-to-follow examples and a step-by-step introduction to the game, while the rulebook contains all of the information you'll need to play the game proper. The two armies provided will allow you and a friend to begin playing right away - these finely detailed, plastic, Citadel miniatures have been specially designed to allow you to quickly assemble an army ready for your first battle. For existing Warhammer 40,000 players, this set provides a handy, pocket-sized rule book, great for taking along to tournaments and events.&#10;&#10;This boxed game contains a 112-page Rulebook, a 33-page Getting Started booklet, Dice, Templates, Range Rulers and almost 50 Citadel miniatures, including: a Space Marine Captain, 10 Tactical Space Marines, Five Space Marine Terminators, a Space Marine Dreadnought, an Ork Warboss, 20 Ork Boyz, five Ork Nobz and three Ork Deffkoptas.&#10;&#10;Starter set for&#10;&#10;    Warhammer 40,000 (fifth edition)&#10;&#10;&#10;&#10;&#10;";Fighting,Miniatures,Science Fiction,Wargame;2008
Scene It? Star Trek;"From the Publisher:&#10;&#10;From the second you load the game disc into your DVD player, you'll boldly go where no Star Trek fan has gone before. From The Menagerie to The Final Conflict, Scene It? Deluxe Star Trek Edition has it all. Real television and movie clips, trivia questions and a galaxy bursting with on-screen puzzlers will test whether you need to log a few more stardates at Star Fleet Academy or you're ready to face the Final Frontier!&#10;&#10;The game has been released in three versions: a regular Boxed Edition and two Deluxe &quot;collector tin&quot; Editions--SHIPS and CAPTAINS (depending on what's pictured on the cover).&#10;&#10;The Boxed Edition Game includes: &#10;    * 1 DVD&#10;    * 1 Flextime&reg; Game Board&#10;    * 1 Six-Sided Numbered Die&#10;    * 1 Eight-Sided Category Die&#10;    * 4 Plastic Movers (the Enterprise 1701, the Enterprise-D, the Defiant &amp; the Voyager)&#10;    * 10 Prime Directive Cards&#10;    * 144 Trivia Cards&#10;    * 4 Category Reference Cards&#10;    * 1 Instruction Sheet&#10;&#10;Both Deluxe Edition Games differ as follows:&#10;    * The &quot;Movers&quot; are now &quot;4 Collectible Metal Tokens&quot; (same ships as Boxed Edition)&#10;    * 16 Prime Directive Cards instead of 10&#10;    * 175 Trivia Cards instead of 144&#10;All the other game components are identical to their Boxed Edition counterparts.&#10;&#10;NOTE: Originally, the CAPTAINS set was to have five &quot;Captain&quot; movers (Kirk, Picard, Sisko, Janeway &amp; Archer) in place of the ships, but this no longer seems to be the case. The only difference in the two Deluxe editions is the cover art.&#10;&#10;";Movies / TV / Radio theme,Science Fiction,Trivia;2009
Mage Knight Conquest;"From the Rulebook:&#10;&#10;Mage Knight Conquest provides an entertaining and fast way to play large-scale Mage Knight battles, using castles, artillery pieces and armies created from dozens of battle hungry warriors.&#10;&#10;";Collectible Components,Fantasy,Miniatures,Wargame;2002
Boot Hill;"From the cover of the rulebook:&#10;&#10;Rules for &quot;Wild West&quot; gunfights and campaigns with miniature figures on a man-to-man scale.&#10;&#10;From the foreword in the rulebook:&#10;&#10;These rules are aimed at enjoyment on a plane unusual to wargaming, the individual and personal. Rather than commanding hordes of troops players typically have but a single figure, their &quot;character&quot;. With these figures the players recreate the individual gunfights, saloon brawls, and Wild West action as has come down to us from the pages of history - and the celluloid of Hollywood Westerns.&#10;&#10;";American West,Miniatures,Wargame;1975
Bet Your Brain;"A trivia game with 2400 question cards and with more than 5.000 questions on the cards. Questions are divided into different categories like The goodie bag, Sport and anatomy, Famous or notorious, The Creative, Wordpower, Music and culture, Film and TV and Around the world.&#10;&#10;On each turn everybody can play by betting on whether the person answering the question really knows the answer or not.&#10;&#10;Awards&#10;&#10;&#10;     2009 Nominee - [ &Aring;rets Selskapsspill (Party Game of the Year, Norway)]&#10;     2008 &#195;&#133;rets Voksenspil, Adult Game of the Year Denmark&#10;&#10;&#10;";Trivia;2008
GoLong Football Dice Game;"It&rsquo;s a 4-quarter smash-mouth football game where you roll the dice to march 100 yards down the field.  But standing between you and the goal line are sacks, penalty flags, and costly turnovers.  Score touchdowns, field goals, and 2 point conversions &ndash; go for it on 4th down if you have to!  It&rsquo;s lightning fast gridiron action for football fans of all ages!&#10;&#10;";Dice,Sports;2008
Flames of War: Open Fire;"Flames Of War! Open Fire  has been carefully designed for someone who has never heard of Flames Of War before, or has seen the 256 page rulebook and not known where to start. Open Fire is not a simplified set of the Flames Of War rules, but rather a complete introductory box for a new player!&#10;&#10;Open Fire! includes:&#10;&#10;Complete Flames Of War full-colour mini-rulebook; 164 pages of clearly laid out rules with plenty of diagrams, including: Rules for tanks, infantry, artillery, aircraft, snipers, reconnaissance, night fighting, and more.&#10;&#10;Special rules for the nations involved in WWII.&#10;&#10;16 page full-colour introduction booklet. Learn the skills needed to become a famous World War II general. &#10;6 detailed American Sherman tank miniatures. &#10;2 detailed Sherman Firefly tank miniatures. &#10;3 detailed German StuG G assault gun miniatures. &#10;2 Grenadier platoons, one PaK40 platoon (72 minis, 2 AT guns)&#10;1 US Paratrooper platoon (32 minis)&#10;1 V1 Flying Bomb Terrain Piece&#10;10 American dice. &#10;10 German dice.&#10;&#10;The introduction booklet has been written to work in conjunction with the mini-rulebook included with the set.&#10;&#10;Its aim is to introduce you to the basic mechanics of the Flames Of War rules and to help you navigate your way through the rulebook for your first couple of games. Once you've played through the missions included, you should be ready for your first full battles.&#10;&#10;This is truly where the war begins for your reinforcements!&#10;&#10;Miniatures are supplied unpainted and assembly may be required.&#10;&#10;";Fighting,Miniatures,Wargame,World War II;2009
Trafalgar;"Trafalgar Naval Warfare in the Age of Sail (1795-1815) by Warhammer Historical Wargames Ltd is a set of tabletop wargame rules set during the time of the Napoleonic Wars. Fleetlists are supplied for all the major and several minor powers of Europe as well as the American Navy. The book also includes a brief historical review and a hobby section.&#10;&#10;From the website...&#10;&#10;It was a battle that captured the hearts of a nation, and changed the balance of naval power for a hundred years to come. It was a battle that made men into heroes, and turned a hero into a legend.&#10;&#10;Warhammer Historical is proud to present Trafalgar, a naval wargame, set in the Age of Sail. Within this book you will find all the rules, history and hobby information you need to fight battles between opposing navies throughout the period 1795-1815. From the Battle of Copenhagen and the Glorious 1st June, the war in the Baltic, and the eponymous Battle of Trafalgar itself, to the naval War of 1812 between Britain and the emerging naval superpower of the United States, all are contained within this volume.&#10;&#10;Whether you&rsquo;re inspired by the history and romance of massive, bloody battles on the high seas, or wish to recreate the fictional exploits of Hornblower and Aubrey, Trafalgar provides an accessible set of rules and practical information to bring these encounters to life through a strategic tabletop wargame.&#10;&#10;Set sail for adventure and glory. Clear for action, beat to quarters, and run out the guns: Every man must do his duty!&#10;&#10;";Dice,Miniatures,Napoleonic,Nautical,Wargame;2009
Scene It? The Simpsons Deluxe Edition;"From the publisher:&#10;Scene It? The Simpsons Edition is loaded with clips, trivia questions, and puzzlers featuring all the citizens of Springfield.  Homer, Marge, Bart, Liasa and Maggie are here along with their family, friends, teachers, bosses, tavern owners, convenience store clerks, clowns, sidekicks, pets and neighboreenos!  So make a mad dash to the couch, pop the game disc into your DVD player and stay tuned for an avalanche of trivia!  Test your Simpsons knowledge with real clips as you answer trivia questions and race around the game board to win!  Scene It? The Simpsons Edition is a perfectly cromulent way to embiggen you enjoyment of TV's longest-running comedy!&#10;&#10;Contents:&#10;1 DVD&#10;1 Flextime Game Board&#10;4 Movers&#10;175 Trivia Cards&#10;16 Buzz Cards&#10;4 Category Reference Cards&#10;1 Six-sided Numbered Die&#10;1 Eight-sided Category Die&#10;1 Instruction Sheet&#10;&#10;";Movies / TV / Radio theme,Trivia;2009
Black Powder;"Miniature Wargame rules for the era of horse and musket 1700-1900.&#10;&#10;If you can think of nothing finer than taking to the field of battle to refight great battles such as Quatre Bras, Bunker Hill, Rourke&rsquo;s Drift, Blenheim, Gettysburg, and more, you&rsquo;ll be needing a copy of Black Powder.&#10;&#10;Black Powder is very much a game for gentlemen gamers. Gamers who cherish the finer things in life such as wonderfully painted armies, fighting over luxurious terrain and doing so in the company of friends. No need for the use of protractors to wheel a unit. Arguments over whether a charge is 2mm out of range are not something you&rsquo;ll need to worry about. In essence it&rsquo;s a very relaxing game that can produce stunning conflicts - conflicts that can see one side appear doomed only for them to pull victory from the icy grasp of Mistress Defeat!&#10;&#10;The book itself is glorious. Hardback covers binding 184 full-colour pages filled with atmospheric anecdotes and the most sumptuous photographs of model soldiers you will have seen. It&rsquo;s every wargamer&rsquo;s dream!&#10;&#10;";Age of Reason,American Civil War,American Revolutionary War,Book,Miniatures,Napoleonic,Wargame;2009
Iron and Oak;"Iron and Oak is game of ship-to-ship combat set during the American Civil War. As a tactical representation of naval warfare, each of the ships is accurately modeled for offensive capability including gunnery, ramming and spar torpedoes; for defensive capability including damage and five distinct armored or wooden hit locations; and for maneuverability, crew size and draft.&#10;&#10;You command 70 famous ships of the era, including the Union: Onondaga, Tecumseh, Winnebago, Monitor, Osage, Minnesota, Brooklyn, Hartford, Essex, Carondolet, Kearsarge, Ossipee, Queen of the West, Iroquois, Spuyten Duyvil; and the Confederate: Tennessee, Virginia, Atlanta, Palmetto State, Arkansas, Albemarle, Alabama, Florida, General Beauregard, Sumter; and many more.&#10;&#10;Many of the 14 scenarios, in this easy-to-learn game, are playable in an hour or less. Included are 13 historical and 1 hypothetical engagements featuring Hampton Roads, Mobile Bay, Trent&rsquo;s Reach, Wassaw Sound, the duel between Alabama and the Kearsarge, and the saga of the Arkansas, which may be played as three individual scenarios or as a linked mini-campaign.&#10;&#10;In addition, forts bristling with guns make their appearance to challenge the will of the ship captains. If that was not enough to heat things up, scenario based optional rules add a few interesting &lsquo;what if&rsquo; situations to expand on play.&#10;&#10;If you are interested in commanding your own fleet, Iron and Oak includes a standalone campaign module where player selected forces fight it out in the many rivers, bays, inlets and costal areas. The campaign game recreates the brown water actions, typical of the period, in a series of randomly generated battles. As play progresses, the players do not know the exact length of the campaign or the specific mix of the battles. Players must not only manage the unfolding battles, but must also strategically allocate resources and repair and refits their ships. The 16 card Navy Yard deck is used to plot a course through and influence the challenges of the campaigns.&#10;&#10;Two or more players battle it out on an 22&rdquo; x 34&rdquo; map that features an area movement grid. This simple approach controls ship movement as well as all combat action. Gone are the long periods of inaction, typical of ACW tactical naval games, as these early steam-era ships struggled to maneuver into battle.&#10;&#10;This innovative game system places the emphasis on quick action and tactical decision making. The 50 Action Cards are used to assist and enhance play, not drive it. Each time you battle it out, whether in a scenario or campaign game, the action unfolds in a very different manner. Do you wish to employ hot shot or incendiary shells? Is now the best time to rapid fire or is it wise to maneuver and ram? Should you allocate part of the crew as a repair party? Is that enemy ship going to maneuver into your torpedo (mine) field? These and many other possibilities exist through the play of the action cards. Or, you may decide to not play any action cards at all and just maneuver and shoot. You control how and when the action will unfold.&#10;&#10;At its core Iron and Oak is a naval simulation. It accurately models the close-range slugging matches typical of the period. You have the opportunity to play out the various battles to their conclusion. Will history repeat itself, or will a new account be written? Will the Monitor&rsquo;s 11&rdquo; Dahlgren smoothbores blast through Virginia&rsquo;s armor plating or will their battle again end in a stalemate? Will the powerful Tennessee win out against Admiral David Farragut&rsquo;s Union fleet or again fall to his superior numbers? Will the Atlanta defeat the two Union monitors in kind or again slip aground and strike her colors. This time, you get to determine the outcome. You are not bound by history&rsquo;s stories.&#10;&#10;";American Civil War,Civil War,Nautical,Wargame;2013
Lasalle;"Lasalle is a game for two or more players, and is the first game in the HONOUR series. Players take the role of a brigade or division commander in the Napoleonic Wars.&#10;&#10;The game is small-scale and tactical in nature, focusing on the movement of individual battalions and regiments of cavalry. The player will manage a small force of roughly a dozen units as he tries to complete some specific mission assigned to him, such as &ldquo;Hold the village and our bridgehead at all costs!&rdquo; or: &ldquo;Drive the French from Plancenoit!&rdquo;&#10;&#10;From the publisher's website:&#10;&#10;Lasalle is ideal for a small gaming table, and it plays in real-time with most battles lasting 2-3 hours. It is perfect for pick-up games or tournament play. It therefore includes sample army lists enabling players to collect and paint typical small forces from a large number of possible nationalities.&#10;&#10;If you have a club, or a larger collection and gaming area, Lasalle can also be used to simulate historical battles of the Napoleonic Wars, such as Quatre Bras, Albuera, Saalfeld, or Eggm&uuml;hl. In these cases, multiple players with multiple forces and a larger table will allow your group to simulate the excitement of a significant battle.&#10;&#10;";Miniatures,Napoleonic;2009
CUPONK;"This game is for one to as many people want to play.  As described in the rules there are 2 CUPONK (Ping Pong with graphics) balls and a 30 Card &quot;Trick Deck&quot; that the player draws from, it illustrates a specific trick to attempt and the number of tries to complete it.&#10;&#10;If the player completes the trick in the amount of tries given they collect the card and the next player draws a new trick.  If the player fails to complete the trick in the number of tries, then the next player attempts the same trick.  Follow the same rules for completing the trick.  If all players fail, then discard the trick and move on to the next trick card, it would now be the original first player's turn again.&#10;&#10;You can play until any preset goal you want, first to three tricks, five tricks, or until the deck is gone and count up the totals.  The game even recommends combining 2 or more trick cards into &quot;Expert&quot; tricks.&#10;&#10;Each of the three versions has their own trick deck, so if you purchased all three you can combine them into one 90 card deck.  Also included are blank cards for making up your own.&#10;It's actually way more fun than you would think, and the cup lights up and makes sound effects unique to the version you purchased.  The cards are really just stepping stones to making your own even more elaborate tricks.&#10;&#10;-----From the Box-----&#10;&#10;What exactly is CUPONK? The object: sink your ball into the cup and light it up. Get it in and you&rsquo;ll hear the sweet sounds of victory, YEAH! You rock. Miss the shot and your friends get the chance to one-up you. When playing CUPONK your entire home can become a legitimate playing field. Tables, walls, chairs &ndash; IT&rsquo;S ON! Test out sick trick shots like Door Jam, Stairing Contest and Wall Banger. What you don&rsquo;t like the names? Okay tough guy, make up your own! &#10;Show your skill and sink sick shots. Features lights and crazy (gorilla / wild wrestling / killer zombie) sounds! Includes 1 CUPONK cup, 2 CUPONK balls, 30 trick cards, a ramp accessory and instruction guide. &#10;Requires 3 AAA batteries (not included). For 1 or more player(s). Ages 9 and up. &#10;[Taken from HASBRO Site]&#10;&#10;There are three versions in the first wave: Gorillanator, El Campeon, Let it R.I.P.&#10;&#10;The second wave includes three versions: Boomshakalaka, Monsterosity, King of L.A.&#10;&#10;A deluxe edition, Le Flush Royale,was released alongside the second wave. It includes a cup with a plastic lid/backboard, Cuponk head band, five stickers, six balls, a set of thirty cards and instructions.&#10;&#10;There are also two different sets of extra balls. They each include seven new balls and five stickers.&#10;&#10;";Action / Dexterity;2010
Kings of War;"Kings of War is the miniatures wargame from Mantic Games. Designed to go along with the accompanying 28mm Fantasy Ranges the game features players maneuvering large blocks of miniature soldiers around the battlefield in search of victory.&#10;&#10;Kings of War is a new concept for mass battle miniature wargaming &mdash; a game that is both easy to learn and fast to play! With few and simple rules, there is little to get in the way of the fun and slaughter. Kings of War is a challenging game of strategy, where you can pit your wits against your opponent without devoting half of your brain power to remember a plethora of convoluted rules.&#10;&#10;And that&rsquo;s not all, the innovative turn structure allows you to play Kings of War using a time-keeping tool (like a stopwatch or a chess clock) to time your moves. As the seconds tick away, the pressure and excitement this adds makes 'Kings of War' unlike any other large-scale wargame you&rsquo;ve ever played before.&#10;&#10;Units are given simple ratings such as 'Melee Attack', 'Defense' and 'Nerve' and then augmented with special abilities that characterize the different fantasy races that inhabit the world. In 2015, the &quot;beta&quot; rules were updated and a full ruleset was released. Abbreviated rules are downloadable from Mantic's website, and extracts (about 70%) from the full army lists for all factions are also available for download, called &quot;starter lists&quot;. Currently army lists exist for Elves, Dwarves, Kingdoms of Men (medieval humans), Basileans (clerical army with saints and angels), Forces of Nature (Treemen, Dryads and other assorted forest creatures), Forces of the Abyss (devils and demons), Abyssal (evil) Dwarves, Goblins, Orcs, Ogres, Twilight Kin (evil elves) and the Undead hordes. &#10;Additional factions lists are now available in the &quot;Uncharted Empires&quot; supplement: The Brotherhood (high medieval and mystical humans with elementals), Salamander (humanoid lizards), The Herd (satyrs... ok: beast-men), The League of Rhordia (fantasy renaissance humans and halflings), The Trident Realms of Neritica (tritons/ fishmen), The Empire of Dust (aegyptian undead... yes, kings from tombs), Night-Stalker Armies (spirits, ghosts and the like), Ratkin Armies (ska... er, scavenger ratmen) and the Varangur (chao...tic warriors).&#10;&#10;";Book,Fantasy,Miniatures,Wargame;2010
Dystopian Wars;"The year is 1870.&#10;The World is at War.&#10;&#10;The world of Dystopian Wars is similar to our own, but subtly different. The year is 1870 and the Industrial Revolution occurred decades earlier than in our own world. Technology is far advanced, and in many cases, unrecognisable, which has led to the development of fantastic naval vessels, hulking land ships and terror from the skies in the form of airships and war balloons.&#10;&#10;Dystopian Wars is designed to ensure a fun game with a large selection of models in a couple of hours. We are big fans of Steam Punk and Victoriana, so we jumped at the chance of creating a naval warfare game along similar lines to our Uncharted Seas and Firestorm Armada games - but encapsulating these interesting genres. Dystopian Wars incorporates Naval, Aerial and Land Models from the outset, so that you can set up battles and scenarios in any combat setting. Games can be played in each genre of warfare OR using a combination of ALL models.&#10;&#10;Spartan Games will supply highly detailed, high quality resin and metal miniatures with which you can roam the high seas, scour the smog filled skies of Dystopian Wars for enemy flying ships, or doggedly defend the cities and countryside of your home nation. These three branches of the military use the same core rules for movement and combat, with varying abilities and statistics.&#10;&#10;Our fast play rules are optimised for large fleet actions, so you can get as many miniatures on the table as you want, and still get an enjoyable game in one evening. Dystopian Wars is also ideal for multiplayer games, because you get to activate individual squadrons of miniatures from one player to the next. The rules allow for the use of a deck of 52 Game Cards that add an exciting element of randomness to each game. You can play without them, but they improve the overall game play and inject some additional eccentric Victorian atmosphere.&#10;&#10;Dystopian Wars is our third game to be built using our D6-based core rules engine and shares elements with the science fiction space combat of Firestorm Armada and the fantasy naval combat of the Uncharted Seas. Dystopian Wars builds on the same successful game ethos.&#10;&#10;We are excited about the development of Dystopian Wars - it is an entertaining and violent game, putting you in command of huge Land Vessels, Giant Robots, Impressive Airships and Rugged Naval Ships. Your strategies and choices of fleet construction determine the margin of your victories or defeat. Whether you choose to focus on land, sea or in the air, you have every choice available to you to outmanoeuvre, harass and destroy your opponent.&#10;&#10;You command one of the great imperial powers of Dystopian Wars, you can defend your territories from foreign incursion, or you can conquer the world. The choice is yours.&#10;&#10;";Miniatures,Nautical,Post-Napoleonic,Science Fiction,Wargame,World War I;2010
Name 5;"Can you name the five Great Lakes in 30 seconds?  Sure, but can you name five things you shouldn't say to your boss?  That's the idea behind this quick-thinking team trivia game.  When it's your team's turn, roll the die and move your pawn that many spaces.  You'll then draw a card and you and your teammates will try to name 5 things that fit a category within 30 seconds.  If you can, you get another turn.  If not, it'll be your opponents' turn.&#10;&#10;Most of the spaces on the board are solid colors, which determine what category is in play.  For example, if you land on a red space, you play the red category.  However, there are four kinds of special spaces:  All Play (both teams get a different category, and the first team to name 5 things in their category rolls the die and takes the next turn), Flip Flop (teams alternate giving answers until someone can't think of another), Wild (your team gets their choice of the five categories on the card) and Double Down (you have to pick two of the 5 categories and name five things in both those categories, all in 30 seconds).&#10;&#10;When you reach the big Name 5 space in the center of the board (which you have to do by exact count), you'll have the chance to win the game.  You and your team will have 90 seconds to name 5 things in each of the 5 categories on the card.&#10;&#10;";Trivia;2009
Connect 4 Launchers;"Launch it to win! Grab you launcher and send your checkers zooming through the air with three fast-flying checker challenges. Basic Frantic Launch challenges you to be the first to land four-in-a-row. The Championship Frantic Launch is your chance to flip to five points first and win. And the Advanced Power Launch is power checkers for maximum fun. So load &lsquo;em up, launch &lsquo;em up and try to connect &lsquo;em up!&#10;&#10;Includes 21 red checkers, 21 yellow checkers, 4 pillar pieces, 2 clear grid trays, 1 red checker launcher, 1 yellow checker launcher and instructions.&#10;&#10;Fast-flying checkers game gives you three different checker challenges to prove you can connect &lsquo;em up and win! Includes 21 red checkers, 21 yellow checkers, 4 pillar pieces, 2 clear grid trays, 1 red checker launcher, 1 yellow checker launcher and instructions.&#10;&#10;For 2 or more players.&#10;&#10;";Action / Dexterity,Children's Game,Puzzle;2011
A Call to Arms: Star Fleet;"A joint product using Mongoose's &quot;A Call to Arms&quot; miniature system and ADB's &quot;Star Fleet Universe&quot;.&#10;&#10;From the Mongoose Publishers website:&#10;A Call to Arms: Star Fleet is a game of space combat in the Star Fleet Universe. Throughout humanity&rsquo;s space-age history, the Federation has come under pressure from many enemies. Now you can play out these confrontations on the tabletop with entire fleets drawn from the Federation, Klingon Empire, Romulan Empire or any one of the many other fleets that range across the galaxy.&#10;&#10;From skirmishes involving lone destroyers to the clashing of large fleets against their bitterest rivals, A Call to Arms: Star Fleet is your ticket to exciting battles that take place in the depth of space.&#10; This book includes;&#10; * Full fleet lists for the Federation, Klingons, Romulans, Gorns, Kzintis, Tholians, Pirates of Orion, and Civilians&#10; * Over 50 individual ships are detailed&#10; * A complete campaign system&#10; * Special Actions that include exciting manoeuvres such as the High Energy Turn, or use high technology, such as Engage Cloaking Device&#10; * As well as General Scenarios, there are also Tactical Challenges, special missions designed to test the limits of your Admiralship&#10; * Easy to learn rules system that will have you playing in ten minutes, but which will take years to master!&#10; * Rules covering drones, cloaking devices, plasma torpedoes, and all your favourite ships&#10;&#10;";Miniatures,Movies / TV / Radio theme,Science Fiction,Wargame;2011
